Component Pins:
Owner   Type  Dir         Value  Name
     7  float IN            100  hm2_7c80.0.dpll.01.timer-us
     7  float IN            100  hm2_7c80.0.dpll.02.timer-us
     7  float IN            100  hm2_7c80.0.dpll.03.timer-us
     7  float IN            100  hm2_7c80.0.dpll.04.timer-us
     7  float IN             -1  hm2_7c80.0.dpll.base-freq-khz
     7  u32   OUT    0x00000000  hm2_7c80.0.dpll.ddsize
     7  float OUT             0  hm2_7c80.0.dpll.phase-error-us
     7  u32   IN     0x00400000  hm2_7c80.0.dpll.plimit
     7  u32   OUT    0x00000001  hm2_7c80.0.dpll.prescale
     7  u32   IN     0x000007D0  hm2_7c80.0.dpll.time-const
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.000.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.000.in_not
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.001.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.001.in_not
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.002.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.002.in_not
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.003.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.003.in_not
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.004.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.004.in_not
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.005.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.005.in_not
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.006.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.006.in_not
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.007.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.007.in_not
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.008.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.008.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.008.out
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.009.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.009.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.009.out
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.010.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.010.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.010.out
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.011.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.011.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.011.out
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.012.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.012.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.012.out
